Frecuencia (Hz)	Nivel (dB)
43.066406	-26.646065
86.132812	-30.516859
129.199219	-32.560947
172.265625	-33.143982
215.332031	-34.265747
258.398438	-34.906223
301.464844	-35.685463
344.531250	-35.929344
387.597656	-36.446323
430.664062	-36.800751
473.730469	-37.537159
516.796875	-37.789635
559.863281	-38.279575
602.929688	-39.008350
645.996094	-38.713066
689.062500	-39.083122
732.128906	-40.412884
775.195312	-40.523006
818.261719	-39.958904
861.328125	-40.817513
904.394531	-40.718033
947.460938	-40.932510
990.527344	-41.872765
1033.593750	-41.907341
1076.660156	-42.106293
1119.726562	-41.441833
1162.792969	-41.449715
1205.859375	-41.914078
1248.925781	-41.973011
1291.992188	-42.269650
1335.058594	-42.711761
1378.125000	-42.122166
1421.191406	-42.534641
1464.257812	-42.358913
1507.324219	-43.057228
1550.390625	-43.168064
1593.457031	-43.352303
1636.523438	-42.899467
1679.589844	-43.040741
1722.656250	-43.958961
1765.722656	-43.458195
1808.789062	-43.965336
1851.855469	-43.613453
1894.921875	-43.886688
1937.988281	-43.533104
1981.054688	-44.004387
2024.121094	-44.422604
2067.187500	-43.958393
2110.253906	-44.097282
2153.320312	-44.347031
2196.386719	-44.427269
2239.453125	-44.479099
2282.519531	-44.853397
2325.585938	-44.775017
2368.652344	-44.557819
2411.718750	-44.704845
2454.785156	-44.731159
2497.851562	-44.774078
2540.917969	-44.636452
2583.984375	-45.049000
2627.050781	-45.360764
2670.117188	-45.060837
2713.183594	-45.311443
2756.250000	-45.893238
2799.316406	-45.301643
2842.382812	-45.251041
2885.449219	-45.107323
2928.515625	-45.690643
2971.582031	-45.500816
3014.648438	-45.559738
3057.714844	-46.122231
3100.781250	-46.156708
3143.847656	-45.579418
3186.914062	-45.304306
3229.980469	-45.867474
3273.046875	-45.741039
3316.113281	-46.114052
3359.179688	-45.877419
3402.246094	-45.816433
3445.312500	-45.763992
3488.378906	-46.697689
3531.445312	-46.399101
3574.511719	-46.338341
3617.578125	-46.421963
3660.644531	-46.547577
3703.710938	-45.810585
3746.777344	-46.535183
3789.843750	-46.704681
3832.910156	-46.838673
3875.976562	-47.174919
3919.042969	-46.680962
3962.109375	-46.690029
4005.175781	-47.841797
4048.242188	-47.129211
4091.308594	-47.058601
4134.375000	-47.020039
4177.441406	-46.636738
4220.507812	-46.937092
4263.574219	-47.136436
4306.640625	-46.558296
4349.707031	-47.281841
4392.773438	-47.338993
4435.839844	-46.839008
4478.906250	-47.232353
4521.972656	-46.937843
4565.039062	-47.553528
4608.105469	-47.810287
4651.171875	-47.888969
4694.238281	-47.823364
4737.304688	-47.192196
4780.371094	-47.278011
4823.437500	-47.862366
4866.503906	-47.899910
4909.570312	-47.077595
4952.636719	-47.694000
4995.703125	-47.594818
5038.769531	-47.732273
5081.835938	-47.858086
5124.902344	-47.917530
5167.968750	-48.179012
5211.035156	-47.969147
5254.101562	-48.787445
5297.167969	-48.274296
5340.234375	-48.255814
5383.300781	-48.992069
5426.367188	-48.216980
5469.433594	-48.338436
5512.500000	-49.020676
5555.566406	-48.314751
5598.632812	-48.715351
5641.699219	-48.222496
5684.765625	-48.501507
5727.832031	-48.380909
5770.898438	-49.074055
5813.964844	-49.004673
5857.031250	-48.525024
5900.097656	-48.383507
5943.164062	-48.500942
5986.230469	-48.842670
6029.296875	-48.884773
6072.363281	-49.526997
6115.429688	-49.225079
6158.496094	-48.384109
6201.562500	-48.941238
6244.628906	-49.510426
6287.695312	-49.065323
6330.761719	-49.301525
6373.828125	-49.550976
6416.894531	-49.183483
6459.960938	-49.154446
6503.027344	-49.831699
6546.093750	-49.357243
6589.160156	-48.999832
6632.226562	-49.530823
6675.292969	-49.283283
6718.359375	-49.129635
6761.425781	-49.845375
6804.492188	-49.734367
6847.558594	-48.794312
6890.625000	-49.190876
6933.691406	-49.735886
6976.757812	-49.308296
7019.824219	-49.042816
7062.890625	-49.338924
7105.957031	-49.441460
7149.023438	-49.990665
7192.089844	-49.364059
7235.156250	-49.437069
7278.222656	-49.898567
7321.289062	-49.344299
7364.355469	-49.988110
7407.421875	-50.341225
7450.488281	-49.735035
7493.554688	-50.153111
7536.621094	-49.520874
7579.687500	-50.625416
7622.753906	-50.374619
7665.820312	-49.953846
7708.886719	-49.464005
7751.953125	-50.157055
7795.019531	-50.785713
7838.085938	-50.614510
7881.152344	-50.937599
7924.218750	-50.066143
7967.285156	-50.422962
8010.351562	-50.002960
8053.417969	-49.950874
8096.484375	-50.322067
8139.550781	-50.024845
8182.617188	-50.797241
8225.683594	-50.717949
8268.750000	-49.976395
8311.816406	-49.910931
8354.882812	-50.026676
8397.949219	-50.378609
8441.015625	-50.351208
8484.082031	-50.720127
8527.148438	-51.129810
8570.214844	-49.865555
8613.281250	-50.609497
8656.347656	-50.533031
8699.414062	-50.794872
8742.480469	-50.741650
8785.546875	-51.392200
8828.613281	-50.983601
8871.679688	-50.348717
8914.746094	-50.192524
8957.812500	-50.879822
9000.878906	-51.228706
9043.945312	-50.250732
9087.011719	-50.709396
9130.078125	-50.787979
9173.144531	-51.004150
9216.210938	-50.547459
9259.277344	-51.080524
9302.343750	-51.260403
9345.410156	-51.439365
9388.476562	-50.078438
9431.542969	-51.006966
9474.609375	-51.152763
9517.675781	-51.080135
9560.742188	-51.592567
9603.808594	-51.641891
9646.875000	-51.540462
9689.941406	-51.373974
9733.007812	-51.468323
9776.074219	-51.230553
9819.140625	-51.201351
9862.207031	-51.614044
9905.273438	-51.294724
9948.339844	-50.830421
9991.406250	-50.935139
10034.472656	-51.113770
10077.539062	-51.002033
10120.605469	-51.306122
10163.671875	-51.811634
10206.738281	-51.033710
10249.804688	-51.627014
10292.871094	-51.421543
10335.937500	-51.368397
10379.003906	-51.736488
10422.070312	-51.738480
10465.136719	-51.401909
10508.203125	-51.875381
10551.269531	-51.875240
10594.335938	-52.175697
10637.402344	-51.515209
10680.468750	-52.418480
10723.535156	-51.586899
10766.601562	-51.722973
10809.667969	-52.128506
10852.734375	-51.267509
10895.800781	-51.693642
10938.867188	-51.775299
10981.933594	-51.128082
11025.000000	-52.053795
11068.066406	-51.588539
11111.132812	-51.846882
11154.199219	-52.068455
11197.265625	-51.887257
11240.332031	-51.855637
11283.398438	-52.340626
11326.464844	-51.477688
11369.531250	-51.398506
11412.597656	-51.764282
11455.664062	-51.617363
11498.730469	-52.022663
11541.796875	-52.272808
11584.863281	-51.893291
11627.929688	-51.554546
11670.996094	-52.386082
11714.062500	-52.409496
11757.128906	-52.485794
11800.195312	-52.208218
11843.261719	-52.439316
11886.328125	-51.939766
11929.394531	-52.354683
11972.460938	-52.033703
12015.527344	-52.611923
12058.593750	-52.062450
12101.660156	-51.971169
12144.726562	-52.356247
12187.792969	-52.105240
12230.859375	-52.536156
12273.925781	-52.211792
12316.992188	-52.414143
12360.058594	-52.416004
12403.125000	-52.230740
12446.191406	-52.671848
12489.257812	-52.670471
12532.324219	-52.598640
12575.390625	-52.406551
12618.457031	-52.185493
12661.523438	-52.481812
12704.589844	-52.525944
12747.656250	-51.950741
12790.722656	-52.625385
12833.789062	-52.687744
12876.855469	-52.279770
12919.921875	-52.531792
12962.988281	-51.993813
13006.054688	-52.242798
13049.121094	-52.119595
13092.187500	-52.005562
13135.253906	-52.743526
13178.320312	-51.869087
13221.386719	-52.672771
13264.453125	-52.935619
13307.519531	-53.024879
13350.585938	-52.283852
13393.652344	-52.390697
13436.718750	-52.667912
13479.785156	-51.962780
13522.851562	-53.017143
13565.917969	-52.290157
13608.984375	-53.039036
13652.050781	-52.428188
13695.117188	-53.155056
13738.183594	-52.865398
13781.250000	-52.839722
13824.316406	-52.903645
13867.382812	-52.788906
13910.449219	-52.973705
13953.515625	-52.608490
13996.582031	-52.752869
14039.648438	-52.699547
14082.714844	-52.773117
14125.781250	-52.881485
14168.847656	-52.673973
14211.914062	-52.864365
14254.980469	-52.954693
14298.046875	-52.907967
14341.113281	-52.814198
14384.179688	-52.801601
14427.246094	-52.575787
14470.312500	-53.362091
14513.378906	-53.303883
14556.445312	-53.782379
14599.511719	-52.708271
14642.578125	-52.479847
14685.644531	-53.160656
14728.710938	-52.370792
14771.777344	-52.767620
14814.843750	-53.352867
14857.910156	-53.060341
14900.976562	-52.947823
14944.042969	-52.664963
14987.109375	-52.997295
15030.175781	-52.811520
15073.242188	-52.981476
15116.308594	-52.833637
15159.375000	-52.843376
15202.441406	-53.151199
15245.507812	-53.084351
15288.574219	-52.309071
15331.640625	-53.548279
15374.707031	-53.296516
15417.773438	-52.888985
15460.839844	-53.206394
15503.906250	-53.268681
15546.972656	-52.916641
15590.039062	-52.949249
15633.105469	-53.193695
15676.171875	-53.220097
15719.238281	-52.963409
15762.304688	-53.241768
15805.371094	-53.178978
15848.437500	-52.976147
15891.503906	-53.108418
15934.570312	-52.699368
15977.636719	-52.871990
16020.703125	-53.001381
16063.769531	-52.880016
16106.835938	-53.135395
16149.902344	-52.938663
16192.968750	-53.058590
16236.035156	-53.116089
16279.101562	-53.132019
16322.167969	-52.726810
16365.234375	-53.222279
16408.300781	-52.935944
16451.367188	-53.361851
16494.433594	-53.203857
16537.500000	-53.340679
16580.566406	-53.906937
16623.632812	-53.493473
16666.699219	-52.844963
16709.765625	-53.265514
16752.832031	-52.937969
16795.898438	-53.017132
16838.964844	-53.156609
16882.031250	-53.474567
16925.097656	-52.976131
16968.164062	-52.994232
17011.230469	-53.361595
17054.296875	-53.125294
17097.363281	-53.231472
17140.429688	-52.885368
17183.496094	-52.970951
17226.562500	-53.560123
17269.628906	-53.493725
17312.695312	-53.056126
17355.761719	-53.768364
17398.828125	-53.729298
17441.894531	-53.516926
17484.960938	-53.607944
17528.027344	-53.889202
17571.093750	-53.467915
17614.160156	-53.816765
17657.226562	-53.390907
17700.292969	-53.215027
17743.359375	-53.043446
17786.425781	-53.463108
17829.492188	-53.101048
17872.558594	-53.094051
17915.625000	-53.895420
17958.691406	-53.909039
18001.757812	-53.267342
18044.824219	-53.013847
18087.890625	-53.438339
18130.957031	-53.467773
18174.023438	-53.863167
18217.089844	-53.589256
18260.156250	-52.948544
18303.222656	-52.884243
18346.289062	-53.630478
18389.355469	-53.054588
18432.421875	-53.871048
18475.488281	-53.858856
18518.554688	-53.500233
18561.621094	-53.615971
18604.687500	-53.168583
18647.753906	-53.795536
18690.820312	-53.859531
18733.886719	-53.889565
18776.953125	-53.267899
18820.019531	-52.864571
18863.085938	-53.248760
18906.152344	-53.376595
18949.218750	-53.122864
18992.285156	-53.708061
19035.351562	-53.724491
19078.417969	-53.215878
19121.484375	-52.853943
19164.550781	-53.365837
19207.617188	-52.800655
19250.683594	-53.229507
19293.750000	-52.958473
19336.816406	-53.229916
19379.882812	-53.590103
19422.949219	-53.903843
19466.015625	-53.376816
19509.082031	-53.038155
19552.148438	-53.828457
19595.214844	-53.729847
19638.281250	-53.481625
19681.347656	-53.498859
19724.414062	-53.707096
19767.480469	-53.829197
19810.546875	-53.492985
19853.613281	-53.947941
19896.679688	-53.399597
19939.746094	-53.253876
19982.812500	-52.997742
20025.878906	-53.421535
20068.945312	-52.905735
20112.011719	-53.592392
20155.078125	-53.861595
20198.144531	-53.421150
20241.210938	-53.637543
20284.277344	-54.016159
20327.343750	-53.931381
20370.410156	-53.596317
20413.476562	-53.114735
20456.542969	-54.250847
20499.609375	-53.982826
20542.675781	-53.771423
20585.742188	-53.531597
20628.808594	-54.291039
20671.875000	-53.251713
20714.941406	-53.289463
20758.007812	-53.250431
20801.074219	-53.463982
20844.140625	-54.368099
20887.207031	-54.151203
20930.273438	-53.640491
20973.339844	-53.934963
21016.406250	-53.932308
21059.472656	-53.480579
21102.539062	-54.093208
21145.605469	-53.929798
21188.671875	-53.854866
21231.738281	-53.900970
21274.804688	-53.696308
21317.871094	-53.316841
21360.937500	-53.539871
21404.003906	-53.995384
21447.070312	-54.013191
21490.136719	-53.657040
21533.203125	-53.535126
21576.269531	-53.227032
21619.335938	-53.200283
21662.402344	-53.415627
21705.468750	-53.815334
21748.535156	-53.051140
21791.601562	-53.537922
21834.667969	-54.100517
21877.734375	-53.275127
21920.800781	-53.410213
21963.867188	-53.568581
22006.933594	-53.547005
